order_id,customer_id,order_date,delivery_date,discount,shipping_cost,payment_method
55,245,2023-02-28,2023-03-06,0.0,31.31,Debit
56,490,2023-10-03,2023-10-09,0.0,35.87,PayPal
57,482,2023-08-05,2023-08-08,0.2,31.11,Debit
58,495,2024-03-02,2024-03-05,0.0,28.95,Wire
59,384,2024-09-29,2024-10-05,0.0,47.29,Debit
60,375,2023-01-08,2023-01-11,0.0,37.89,Credit Card
61,352,2023-12-24,2023-12-30,0.15,16.49,Credit Card
62,311,2023-04-29,2023-05-02,0.0,5.79,PayPal
63,145,2024-06-21,2024-06-30,0.1,39.58,Wire
64,328,2023-12-11,2023-12-18,0.15,32.03,Wire
65,464,2024-10-15,2024-10-21,0.05,30.97,PayPal
66,220,2025-08-19,2025-08-22,0.05,19.32,Credit Card
67,169,2023-03-30,2023-04-08,0.1,9.07,Wire
68,489,2025-08-28,2025-09-02,0.05,39.43,Debit
69,102,2023-01-19,2023-01-26,0.15,44.51,Wire
70,339,2023-12-31,2024-01-04,0.0,18.36,Wire
71,89,2024-12-25,2025-01-02,0.05,32.44,Wire
72,405,2025-07-03,2025-07-08,0.0,31.84,Debit
73,497,2023-10-18,2023-10-23,0.0,31.42,Debit
74,110,2025-08-31,2025-09-03,0.1,27.52,Credit Card
75,282,2023-11-24,2023-12-03,0.1,46.14,Credit Card
76,154,2024-10-26,2024-10-31,0.0,28.7,Wire
77,300,2025-01-09,2025-01-17,0.0,29.72,PayPal
78,498,2023-12-30,2024-01-03,0.0,42.01,Wire
79,336,2025-03-25,2025-03-31,0.1,15.96,Wire
80,51,2025-02-21,2025-02-26,0.15,20.82,PayPal
81,334,2025-06-11,2025-06-16,0.0,17.82,Wire
82,157,2025-01-20,2025-01-25,0.0,19.01,Debit
83,158,2024-10-19,2024-10-22,0.0,23.61,Credit Card
84,350,2024-04-03,2024-04-11,0.05,13.16,Credit Card
85,159,2024-08-05,2024-08-13,0.0,30.53,PayPal
86,440,2023-02-05,2023-02-10,0.0,41.27,Credit Card
87,172,2024-01-11,2024-01-17,0.05,47.81,Wire
88,406,2023-04-28,2023-05-04,0.1,15.26,Credit Card
89,271,2023-01-10,2023-01-19,0.0,42.79,Debit
90,152,2024-12-20,2024-12-22,0.0,40.12,PayPal
91,152,2024-06-14,2024-06-19,0.0,35.04,PayPal
92,403,2024-11-06,2024-11-09,0.0,31.4,Wire
93,49,2024-04-27,2024-05-02,0.1,14.75,Credit Card
94,150,2024-03-07,2024-03-13,0.05,32.32,Debit
95,11,2024-10-11,2024-10-13,0.0,31.75,PayPal
96,409,2025-02-08,2025-02-17,0.0,36.28,Wire
97,42,2024-01-09,2024-01-15,0.05,36.16,Wire
98,280,2024-11-30,2024-12-07,0.0,37.6,PayPal
99,288,2023-06-16,2023-06-22,0.0,8.85,Credit Card
100,164,2025-06-17,2025-06-19,0.0,15.2,Credit Card
101,487,2024-12-08,2024-12-14,0.0,8.04,Credit Card
102,428,2024-06-22,2024-07-01,0.0,44.6,PayPal
103,67,2025-03-22,2025-03-28,0.0,13.56,PayPal
104,215,2023-06-21,2023-06-24,0.0,49.8,Wire
105,286,2023-04-26,2023-05-05,0.0,8.99,Credit Card
106,333,2024-04-21,2024-04-29,0.1,12.67,PayPal
107,446,2024-10-31,2024-11-02,0.1,5.06,Debit
108,396,2024-10-09,2024-10-14,0.0,22.21,Wire
109,348,2024-09-18,2024-09-27,0.0,38.17,Debit
110,364,2023-11-17,2023-11-19,0.05,9.18,PayPal
111,466,2024-03-31,2024-04-08,0.1,32.38,Debit
112,38,2024-05-14,2024-05-17,0.0,10.29,Wire
113,114,2025-01-18,2025-01-21,0.0,20.58,Credit Card
114,457,2024-03-24,2024-03-28,0.1,17.59,PayPal
115,196,2024-04-10,2024-04-18,0.0,40.38,Wire
116,342,2023-11-12,2023-11-18,0.0,27.55,Credit Card
117,42,2024-11-08,2024-11-11,0.05,35.34,PayPal
118,158,2024-04-06,2024-04-13,0.0,14.54,PayPal
119,73,2024-02-03,2024-02-09,0.0,11.92,Wire
120,466,2023-07-25,2023-07-30,0.0,46.97,PayPal
121,281,2023-09-10,2023-09-17,0.0,32.29,Credit Card
122,110,2023-12-02,2023-12-09,0.1,19.29,Wire
123,425,2025-06-20,2025-06-22,0.05,10.48,Credit Card
124,482,2025-08-21,2025-08-23,0.0,8.6,Debit
125,288,2023-05-08,2023-05-17,0.0,47.14,Debit
126,146,2025-09-15,2025-09-20,0.1,5.01,Wire
127,254,2023-05-10,2023-05-15,0.0,22.39,Credit Card
128,467,2025-07-18,2025-07-21,0.0,26.81,PayPal
129,253,2025-07-15,2025-07-24,0.0,24.37,Credit Card
130,99,2023-05-29,2023-05-31,0.1,16.94,Wire
131,80,2024-02-04,2024-02-09,0.05,33.49,Debit
132,273,2023-04-11,2023-04-19,0.0,12.82,Debit
133,124,2024-02-26,2024-03-05,0.05,40.64,Wire
134,62,2025-02-06,2025-02-12,0.0,28.65,PayPal
135,14,2024-03-30,2024-04-05,0.0,48.37,Wire
136,386,2024-07-27,2024-07-31,0.0,40.57,Credit Card
137,138,2024-04-15,2024-04-18,0.0,32.85,Credit Card
138,213,2025-09-12,2025-09-15,0.05,13.95,Credit Card
139,173,2024-11-02,2024-11-07,0.0,16.96,Wire
140,191,2025-07-05,2025-07-10,0.0,11.72,PayPal
141,196,2024-06-29,2024-07-04,0.0,34.33,Wire
142,233,2025-01-02,2025-01-07,0.1,22.66,PayPal
143,397,2024-09-16,2024-09-18,0.0,34.64,Credit Card
144,129,2023-05-10,2023-05-15,0.0,17.57,PayPal
145,314,2025-08-13,2025-08-22,0.0,33.67,PayPal
146,264,2025-08-12,2025-08-19,0.05,32.63,Debit
147,343,2025-05-05,2025-05-11,0.0,38.18,Credit Card
148,87,2023-04-11,2023-04-20,0.0,8.82,Wire
149,385,2024-09-12,2024-09-16,0.0,5.54,Credit Card
150,148,2023-10-04,2023-10-13,0.0,18.34,Wire
151,436,2024-02-03,2024-02-07,0.05,13.33,Wire
152,442,2023-09-18,2023-09-24,0.05,39.4,Debit
153,138,2024-07-03,2024-07-11,0.0,48.55,Wire
154,136,2025-02-06,2025-02-15,0.05,22.19,PayPal
155,451,2024-07-14,2024-07-19,0.05,39.86,Credit Card
156,217,2024-01-13,2024-01-21,0.0,48.58,Credit Card
157,164,2024-10-13,2024-10-17,0.2,32.08,Credit Card
158,160,2023-12-17,2023-12-26,0.1,34.54,Wire
159,10,2025-02-21,2025-02-23,0.15,15.11,Credit Card
160,488,2025-04-06,2025-04-13,0.0,32.58,PayPal
161,500,2024-02-18,2024-02-23,0.0,13.89,PayPal
162,113,2025-06-06,2025-06-12,0.0,41.72,Wire
163,39,2024-05-11,2024-05-16,0.15,16.35,Credit Card
164,149,2024-09-29,2024-10-08,0.05,30.1,Wire
165,236,2025-01-05,2025-01-09,0.0,38.89,Credit Card
166,22,2025-05-09,2025-05-15,0.05,9.86,Credit Card
167,463,2024-03-11,2024-03-15,0.15,26.98,Wire
168,88,2023-02-13,2023-02-19,0.0,39.12,Credit Card
169,184,2024-05-29,2024-06-06,0.0,11.82,PayPal
170,295,2023-04-18,2023-04-26,0.1,24.52,Debit
171,362,2023-07-05,2023-07-14,0.1,38.38,Wire
172,449,2025-06-18,2025-06-27,0.0,44.59,PayPal
173,491,2024-04-17,2024-04-20,0.05,41.68,Wire
174,411,2023-03-07,2023-03-09,0.0,29.24,Debit
175,86,2023-08-22,2023-08-25,0.1,42.47,PayPal
176,14,2024-09-24,2024-09-27,0.1,35.53,Debit
177,243,2025-01-04,2025-01-12,0.0,27.59,PayPal
178,132,2024-09-14,2024-09-20,0.05,40.12,PayPal
179,227,2023-06-03,2023-06-09,0.05,5.08,Wire
180,405,2023-07-21,2023-07-28,0.0,13.16,Credit Card
181,20,2023-09-30,2023-10-08,0.1,27.95,Wire
182,216,2025-01-10,2025-01-19,0.0,36.63,Debit
183,254,2024-06-19,2024-06-22,0.0,32.1,Debit
184,60,2025-07-03,2025-07-05,0.05,11.7,Debit
185,109,2023-03-17,2023-03-24,0.2,14.44,Debit
186,192,2023-01-19,2023-01-28,0.0,10.51,Credit Card
187,183,2024-04-25,2024-04-28,0.0,7.81,Debit
188,251,2023-10-30,2023-11-03,0.05,18.47,Credit Card
189,401,2023-07-17,2023-07-22,0.0,13.02,Wire
190,198,2024-07-12,2024-07-19,0.05,38.3,PayPal
191,400,2025-04-16,2025-04-18,0.0,49.08,Wire
192,461,2024-09-10,2024-09-12,0.0,31.39,PayPal
193,337,2025-05-26,2025-05-30,0.15,16.67,PayPal
194,410,2024-08-03,2024-08-09,0.0,26.64,Credit Card
195,74,2024-12-04,2024-12-10,0.05,33.4,PayPal
196,231,2023-10-22,2023-10-25,0.15,40.11,Debit
197,326,2025-03-19,2025-03-26,0.0,10.91,Credit Card
198,31,2024-08-18,2024-08-27,0.0,5.6,Debit
199,364,2024-09-09,2024-09-16,0.0,17.41,Wire
200,220,2023-09-27,2023-10-06,0.2,21.7,Wire
201,106,2024-12-29,2025-01-04,0.0,12.04,Debit
202,184,2024-09-10,2024-09-15,0.05,30.29,Credit Card
203,196,2024-11-20,2024-11-22,0.1,8.89,Wire
204,466,2024-11-02,2024-11-11,0.0,10.76,Debit
205,199,2025-07-05,2025-07-08,0.1,40.45,PayPal
206,313,2023-06-14,2023-06-17,0.2,11.52,Wire
207,218,2025-07-21,2025-07-30,0.0,18.89,Credit Card
208,384,2025-06-26,2025-06-28,0.0,5.99,Credit Card
209,196,2025-06-13,2025-06-16,0.0,35.77,Credit Card
210,81,2024-10-25,2024-10-31,0.0,23.18,Wire
211,169,2024-02-27,2024-03-05,0.0,32.58,PayPal
212,198,2024-09-01,2024-09-03,0.0,11.34,PayPal
213,112,2023-02-26,2023-03-01,0.0,43.79,Wire
214,125,2024-11-09,2024-11-16,0.0,40.41,PayPal
215,444,2024-07-24,2024-07-27,0.2,40.73,Credit Card
216,448,2023-02-01,2023-02-09,0.1,29.52,Debit
217,366,2025-06-02,2025-06-09,0.0,10.68,Wire
218,214,2024-09-19,2024-09-24,0.0,47.6,Debit
219,58,2025-03-06,2025-03-09,0.0,29.86,Debit
220,254,2025-06-17,2025-06-26,0.0,22.58,Wire
221,262,2024-11-09,2024-11-14,0.0,22.88,Wire
222,403,2024-12-09,2024-12-13,0.0,13.4,Debit
223,408,2024-05-22,2024-05-27,0.1,17.44,Debit
224,55,2025-06-23,2025-07-01,0.0,45.36,PayPal
225,42,2025-04-07,2025-04-12,0.0,12.47,Debit
226,387,2025-05-26,2025-05-30,0.1,12.6,PayPal
227,417,2023-08-08,2023-08-10,0.0,21.37,Debit
228,380,2024-11-18,2024-11-22,0.0,40.94,PayPal
229,246,2025-02-25,2025-03-06,0.0,38.29,Wire
230,16,2023-05-09,2023-05-17,0.0,10.51,PayPal
231,269,2023-06-11,2023-06-16,0.2,49.09,Wire
232,247,2024-10-01,2024-10-05,0.05,9.19,Debit
233,281,2025-07-04,2025-07-07,0.0,22.06,Wire
234,189,2024-04-20,2024-04-26,0.0,46.32,PayPal
235,211,2024-07-25,2024-07-30,0.2,45.56,Debit
236,364,2024-04-01,2024-04-07,0.0,41.87,Debit
237,476,2025-03-08,2025-03-11,0.0,10.08,PayPal
238,190,2024-02-21,2024-02-27,0.0,45.74,Wire
239,431,2023-12-04,2023-12-07,0.05,24.6,Debit
240,150,2023-09-30,2023-10-06,0.1,42.97,Wire
241,419,2023-10-16,2023-10-21,0.05,9.79,Wire
242,424,2023-09-05,2023-09-10,0.05,12.52,Debit
243,124,2023-01-01,2023-01-10,0.0,8.47,Wire
244,4,2024-03-17,2024-03-19,0.0,21.22,Credit Card
245,227,2023-11-09,2023-11-15,0.0,39.17,Debit
246,460,2024-02-05,2024-02-13,0.1,7.66,Wire
247,210,2023-04-25,2023-04-27,0.1,5.01,Wire
248,91,2023-12-20,2023-12-29,0.0,15.2,Credit Card
249,328,2024-12-02,2024-12-06,0.0,41.11,Wire
250,84,2025-05-30,2025-06-01,0.0,6.22,PayPal
251,215,2024-10-23,2024-11-01,0.05,48.77,Wire
252,426,2023-10-02,2023-10-04,0.1,49.18,PayPal
253,63,2023-03-14,2023-03-18,0.05,28.97,Wire
254,431,2024-02-02,2024-02-11,0.05,29.33,Debit
255,465,2023-10-13,2023-10-15,0.0,26.09,Credit Card
256,142,2023-07-22,2023-07-28,0.0,18.5,PayPal
257,41,2024-12-08,2024-12-12,0.15,43.35,Credit Card
258,125,2024-09-13,2024-09-20,0.1,13.34,Wire
259,16,2024-04-21,2024-04-28,0.1,6.56,Wire
260,267,2024-07-29,2024-08-05,0.1,28.47,Credit Card
261,304,2023-10-03,2023-10-09,0.0,10.17,Credit Card
262,201,2024-03-20,2024-03-22,0.05,42.32,Debit
263,480,2023-03-06,2023-03-15,0.0,24.37,Debit
264,438,2024-08-10,2024-08-17,0.1,32.09,PayPal
265,308,2024-08-27,2024-09-03,0.05,33.41,Debit
266,157,2023-06-28,2023-07-03,0.05,10.93,Debit
267,406,2023-03-17,2023-03-23,0.2,16.82,Debit
268,162,2023-12-13,2023-12-21,0.2,17.1,PayPal
269,262,2023-08-02,2023-08-04,0.0,6.79,PayPal
270,218,2023-10-10,2023-10-19,0.0,26.13,Credit Card
271,93,2024-09-12,2024-09-14,0.05,26.14,Debit
272,237,2025-05-01,2025-05-10,0.0,29.17,Credit Card
273,302,2025-05-30,2025-06-06,0.1,42.98,Credit Card
274,90,2025-03-17,2025-03-23,0.0,14.83,PayPal
275,363,2025-04-01,2025-04-08,0.0,41.75,Credit Card
276,41,2024-06-12,2024-06-21,0.0,44.59,Wire
277,41,2024-07-04,2024-07-10,0.05,7.02,Wire
278,333,2023-05-07,2023-05-14,0.0,22.54,Wire
279,332,2024-08-06,2024-08-15,0.05,16.62,Credit Card
280,240,2025-07-17,2025-07-23,0.05,47.93,Credit Card
281,8,2023-06-02,2023-06-06,0.0,37.29,Wire
282,215,2024-11-19,2024-11-27,0.1,16.55,Debit
283,478,2024-11-03,2024-11-11,0.05,9.15,Wire
284,412,2025-07-24,2025-07-29,0.15,23.19,Wire
285,143,2023-02-10,2023-02-18,0.0,34.07,PayPal
286,450,2025-03-29,2025-04-02,0.0,27.6,Wire
287,118,2024-12-13,2024-12-15,0.0,12.73,PayPal
288,155,2024-09-20,2024-09-23,0.0,42.31,PayPal
289,296,2023-09-15,2023-09-17,0.05,28.96,Wire
290,321,2023-11-07,2023-11-13,0.0,45.96,PayPal
291,49,2023-05-07,2023-05-15,0.0,41.75,PayPal
292,284,2023-10-04,2023-10-11,0.1,23.18,Credit Card
293,375,2023-03-14,2023-03-20,0.1,31.56,Debit
294,354,2025-03-10,2025-03-14,0.0,31.07,Credit Card
295,63,2023-01-23,2023-02-01,0.1,5.55,Wire
296,313,2023-04-28,2023-05-03,0.0,28.66,PayPal
297,440,2024-10-29,2024-11-04,0.05,7.02,Credit Card
298,193,2024-07-12,2024-07-17,0.0,28.28,PayPal
299,476,2024-02-23,2024-02-27,0.0,40.63,Wire
300,305,2025-05-30,2025-06-06,0.1,28.9,Debit
301,116,2024-03-15,2024-03-20,0.0,9.74,Credit Card
302,365,2024-03-09,2024-03-15,0.0,48.99,Wire
303,75,2024-07-10,2024-07-15,0.0,14.4,Wire
304,448,2025-09-13,2025-09-16,0.0,19.09,Credit Card
305,399,2023-09-02,2023-09-09,0.0,42.6,Credit Card
306,170,2023-05-04,2023-05-10,0.0,24.99,PayPal
307,201,2024-01-04,2024-01-10,0.0,48.25,Debit
308,401,2023-04-19,2023-04-28,0.0,29.36,Credit Card
309,489,2023-11-01,2023-11-07,0.0,39.29,Wire
310,343,2025-08-04,2025-08-08,0.0,16.67,Wire
311,250,2024-05-11,2024-05-17,0.0,17.16,Debit
312,139,2023-12-25,2023-12-30,0.0,31.12,Debit
313,125,2024-04-27,2024-05-03,0.05,27.0,Wire
314,273,2023-04-09,2023-04-14,0.0,19.66,Debit
315,250,2025-02-25,2025-03-03,0.05,11.66,Credit Card
316,145,2024-09-04,2024-09-09,0.15,10.96,Wire
317,117,2025-05-15,2025-05-19,0.0,25.63,PayPal
318,149,2025-01-27,2025-01-31,0.0,7.6,Debit
319,20,2025-07-25,2025-08-01,0.0,48.63,Wire
320,147,2024-10-27,2024-11-05,0.0,38.96,PayPal
321,183,2025-01-31,2025-02-05,0.0,14.15,Debit
322,407,2024-02-03,2024-02-07,0.0,27.15,PayPal
323,465,2024-11-21,2024-11-27,0.2,23.34,Wire
324,175,2025-01-20,2025-01-25,0.1,26.44,Wire
325,329,2025-04-19,2025-04-24,0.0,33.81,Credit Card
326,352,2025-04-19,2025-04-23,0.0,16.52,Credit Card
327,13,2025-07-31,2025-08-07,0.0,38.03,PayPal
328,480,2023-01-22,2023-01-28,0.0,44.24,PayPal
329,298,2023-11-16,2023-11-23,0.05,41.89,Credit Card
330,152,2024-06-30,2024-07-09,0.0,40.7,Wire
331,19,2024-01-05,2024-01-14,0.2,9.04,PayPal
332,135,2024-08-01,2024-08-03,0.0,33.48,Wire
333,37,2023-05-21,2023-05-30,0.15,41.99,Credit Card
334,127,2023-09-14,2023-09-19,0.05,9.7,Wire
335,265,2025-03-12,2025-03-19,0.0,35.93,Wire
336,358,2023-03-16,2023-03-20,0.0,33.44,Credit Card
337,173,2025-09-18,2025-09-21,0.0,9.54,PayPal
338,16,2023-03-07,2023-03-16,0.0,42.89,Debit
339,144,2023-12-24,2023-12-29,0.0,36.95,Debit
340,111,2025-07-15,2025-07-20,0.1,23.06,Wire
341,462,2024-09-23,2024-09-30,0.0,5.99,Wire
342,53,2025-03-17,2025-03-19,0.0,14.87,Credit Card
343,21,2024-02-07,2024-02-13,0.0,39.18,Wire
344,337,2023-07-02,2023-07-10,0.1,25.43,Debit
345,456,2024-07-19,2024-07-24,0.05,28.68,PayPal
346,412,2025-05-27,2025-06-01,0.0,18.05,PayPal
347,191,2023-09-17,2023-09-23,0.15,37.43,Debit
348,119,2025-07-15,2025-07-22,0.1,42.07,Wire
349,75,2025-05-22,2025-05-27,0.0,9.62,Credit Card
350,349,2023-06-03,2023-06-06,0.0,36.81,Wire
351,88,2025-03-28,2025-04-06,0.0,16.11,Credit Card
352,320,2023-06-06,2023-06-11,0.0,21.21,Wire
353,137,2025-07-11,2025-07-14,0.0,40.5,Wire
354,307,2023-05-21,2023-05-25,0.15,21.98,Debit
355,179,2024-02-25,2024-02-27,0.05,27.22,Credit Card
356,316,2025-09-13,2025-09-15,0.05,5.2,Wire
357,213,2025-07-05,2025-07-09,0.05,48.47,Debit
358,11,2025-02-23,2025-02-28,0.05,18.41,Credit Card
359,340,2025-09-05,2025-09-09,0.05,7.17,Credit Card
360,304,2025-05-20,2025-05-25,0.1,26.42,Debit
361,146,2025-02-06,2025-02-13,0.1,5.13,Wire
362,489,2023-01-13,2023-01-16,0.0,23.71,PayPal
363,16,2024-10-10,2024-10-12,0.1,37.87,PayPal
364,481,2023-04-10,2023-04-16,0.1,6.62,Credit Card
365,216,2025-02-14,2025-02-22,0.0,38.17,PayPal
366,492,2025-07-28,2025-08-03,0.05,26.07,Credit Card
367,356,2024-06-16,2024-06-21,0.0,35.01,Credit Card
368,118,2023-02-23,2023-02-26,0.0,9.49,PayPal
369,46,2024-06-08,2024-06-14,0.15,42.72,Credit Card
370,356,2024-02-02,2024-02-05,0.0,38.13,PayPal
371,17,2025-02-18,2025-02-25,0.0,37.62,Credit Card
372,228,2024-01-13,2024-01-18,0.0,39.3,Wire
373,156,2025-02-22,2025-03-02,0.0,10.92,Debit
374,283,2024-05-16,2024-05-22,0.0,22.22,Credit Card
375,162,2024-02-25,2024-03-03,0.0,19.94,Credit Card
376,33,2023-02-24,2023-02-27,0.0,33.88,Debit
377,16,2024-12-20,2024-12-24,0.05,29.68,Debit
378,111,2023-11-03,2023-11-05,0.0,42.34,Wire
379,217,2024-05-18,2024-05-27,0.0,11.85,Debit
380,195,2025-07-13,2025-07-15,0.15,32.15,Credit Card
381,79,2023-05-04,2023-05-12,0.05,31.2,Debit
382,393,2024-09-22,2024-09-28,0.0,34.29,Wire
383,143,2025-03-10,2025-03-15,0.1,14.22,PayPal
384,492,2023-07-18,2023-07-21,0.1,43.12,Wire
385,301,2023-12-05,2023-12-09,0.2,28.73,Debit
386,495,2025-05-12,2025-05-17,0.05,41.44,Wire
387,52,2023-04-12,2023-04-21,0.05,29.25,Wire
388,489,2024-11-16,2024-11-19,0.05,46.88,Debit
389,308,2023-12-27,2023-12-31,0.0,23.7,PayPal
390,411,2025-01-07,2025-01-15,0.0,47.71,PayPal
391,453,2024-01-25,2024-02-01,0.15,39.24,PayPal
392,202,2023-10-29,2023-11-04,0.0,30.24,PayPal
393,93,2024-06-03,2024-06-08,0.1,35.35,Credit Card
394,240,2023-11-27,2023-12-03,0.0,22.63,Debit
395,70,2024-11-11,2024-11-20,0.05,27.42,Debit
396,320,2024-11-29,2024-12-02,0.0,14.86,Credit Card
397,89,2023-10-01,2023-10-05,0.0,14.63,PayPal
398,154,2024-01-25,2024-01-30,0.1,37.95,Credit Card
399,354,2023-09-30,2023-10-04,0.0,47.88,PayPal
400,247,2024-06-03,2024-06-09,0.1,39.79,Debit
401,495,2024-08-28,2024-08-30,0.0,40.16,Debit
402,88,2025-01-23,2025-01-30,0.1,32.14,Credit Card
403,74,2024-07-01,2024-07-07,0.0,29.84,Wire
404,171,2025-09-07,2025-09-16,0.1,13.0,Wire
405,456,2025-08-01,2025-08-05,0.0,16.06,Credit Card
406,451,2025-05-25,2025-05-31,0.0,45.56,PayPal
407,248,2023-09-04,2023-09-08,0.15,27.26,Credit Card
408,93,2023-11-23,2023-11-25,0.05,9.08,PayPal
409,163,2024-09-02,2024-09-04,0.0,17.4,Credit Card
410,274,2024-11-15,2024-11-20,0.0,30.82,PayPal
411,324,2025-08-18,2025-08-21,0.15,44.48,Debit
412,116,2025-05-04,2025-05-07,0.1,38.83,Credit Card
413,378,2023-07-12,2023-07-14,0.0,35.58,Credit Card
414,221,2024-08-02,2024-08-08,0.05,30.35,Credit Card
415,99,2024-08-10,2024-08-13,0.1,11.47,Wire
416,303,2023-11-23,2023-11-26,0.1,23.88,Debit
417,279,2025-05-23,2025-05-28,0.0,14.21,Credit Card
418,392,2024-07-06,2024-07-15,0.0,43.48,Debit
419,494,2024-05-19,2024-05-23,0.0,47.34,Credit Card
420,385,2024-12-07,2024-12-15,0.1,42.61,Credit Card
421,164,2025-09-20,2025-09-26,0.1,34.46,Wire
422,290,2025-08-10,2025-08-12,0.0,17.71,Wire
423,365,2024-08-03,2024-08-11,0.0,39.45,Credit Card
424,249,2024-11-30,2024-12-07,0.0,37.54,Debit
425,391,2024-09-06,2024-09-13,0.0,24.69,Debit
426,179,2023-12-08,2023-12-16,0.0,18.95,Wire
427,420,2025-01-20,2025-01-22,0.1,24.02,PayPal
428,30,2024-12-02,2024-12-08,0.05,41.76,PayPal
429,185,2024-01-17,2024-01-26,0.15,41.3,Wire
430,16,2024-05-18,2024-05-25,0.0,31.58,Credit Card
431,272,2024-07-24,2024-08-01,0.0,36.92,Wire
432,162,2025-02-05,2025-02-12,0.0,47.85,PayPal
433,214,2024-05-19,2024-05-21,0.05,18.35,Credit Card
434,123,2025-07-05,2025-07-11,0.0,28.12,Credit Card
435,51,2025-03-14,2025-03-16,0.15,42.24,Debit
436,271,2023-04-06,2023-04-14,0.0,46.44,Wire
437,378,2023-06-16,2023-06-22,0.1,17.33,Wire
438,169,2024-04-21,2024-04-23,0.0,20.1,Debit
439,245,2024-05-29,2024-05-31,0.05,37.72,Wire
440,109,2023-07-02,2023-07-11,0.0,22.12,Wire
441,100,2024-06-27,2024-07-06,0.05,22.3,Wire
442,43,2025-06-02,2025-06-06,0.0,36.67,PayPal
443,162,2024-12-01,2024-12-09,0.0,36.72,Wire
444,390,2025-06-07,2025-06-09,0.15,7.33,Credit Card
445,453,2023-10-10,2023-10-19,0.1,13.07,Debit
446,446,2024-04-27,2024-05-01,0.0,10.93,PayPal
447,89,2024-10-21,2024-10-29,0.0,18.05,Debit
448,22,2025-06-01,2025-06-03,0.1,16.27,Debit
449,375,2024-03-26,2024-03-29,0.1,45.77,PayPal
450,500,2024-04-08,2024-04-17,0.0,29.7,PayPal
451,53,2023-11-27,2023-12-03,0.0,32.96,Credit Card
452,5,2024-07-22,2024-07-27,0.0,8.08,Wire
453,33,2023-11-14,2023-11-17,0.0,35.84,Credit Card
